0,34
1,71
2,55
3,30
4,55
5,67
6,38
7,22
8,47
9,22
10,71
11,67
12,40
13,84
14,44
15,28
16,50
17,50
18,59
19,28
20,23
21,36
22,44
23,38
24,36
25,43
26,29
27,72
28,33
29,59
30,66
31,49
32,87
33,61
34,37
35,28
36,72
37,70
38,63
39,46
40,35
41,27
42,26
43,45
44,37
45,65
46,72
47,49
48,63
49,68
50,27
51,39
52,52
53,31
54,56
55,42
56,56
57,24
58,38
59,34
60,24
61,74
62,53
63,32
64,60
65,26
66,72
67,38
68,27
69,22
70,57
71,50
72,83
73,51
74,48
75,45
76,23
77,37
78,34
79,26
80,38
81,20
82,32
83,40
84,26
85,59
86,39
87,28
88,42
89,29
90,23
91,47
92,28
93,50
94,29
95,64
96,23
97,44
98,27
99,42
100,32
101,22
102,39
103,26
104,65
105,24
106,55
107,55
108,61
109,32
110,33
111,60
112,43
113,49
114,81
115,42
116,47
117,60
118,26
119,30
120,88
121,76
122,82
123,33
124,83
125,30
126,41
127,42
128,57
129,87
130,19
131,80
132,54
133,42
134,43
135,24
136,35
137,83
138,26
139,29
140,47
141,29
142,62
143,30
144,21
145,22
146,44
147,23
148,24
149,52
150,22
151,63
152,51
153,62
154,43
155,33
156,50
157,65
158,50
159,61
160,51
161,50
162,48
163,26
164,29
165,75
166,24
167,38
168,37
169,32
170,23
171,59
172,55
173,67
174,58
175,22
176,27
177,34
178,57
179,47
180,23
181,40
182,31
183,29
184,47
185,41
186,30
187,17
188,47
189,27
190,58
191,42
192,33
193,55
194,47
195,27
196,25
197,54
198,26
199,25
200,37
201,26
202,26
203,26
204,76
205,45
206,71
207,24
208,25
209,57
210,41
211,33
212,27
213,67
214,28
215,42
216,50
217,38
218,22
219,23
220,30
221,77
222,45
223,54
224,36
225,63
226,75
227,40
228,82
229,26
230,73
231,20
232,75
233,41
234,38
235,27
236,21
237,29
238,54
239,29
240,29
241,32
242,52
243,22
244,29
245,36
246,44
247,51
248,22
249,75
250,33
251,34
252,24
253,51
254,29
255,34
256,35
257,54
258,23
259,31
260,65
261,24
262,48
263,41
264,30
265,27
266,56
267,29
268,83
269,33
270,31
271,28
272,61
273,28
274,21
275,45
276,62
277,27
278,24
279,37
280,71
281,48
282,43
283,61
284,26
285,39
286,44
287,41
288,27
289,38
290,25
291,76
292,27
293,33
294,72
295,34
296,41
297,46
298,22
299,50
300,38
301,56
302,26
303,32
304,45
305,40
306,56
307,34
308,31
309,52
310,56
311,48
312,19
313,33
314,34
315,50
316,78
317,43
318,31
319,56
320,32
321,46
322,39
323,23
324,25
325,71
326,65
327,26
328,35
329,77
330,26
331,51
332,40
333,33
334,25
335,51
336,63
337,35
338,39
339,30
340,68
341,53
342,38
343,78
344,30
345,32
346,42
347,52
348,31
349,29
350,50
351,62
352,27
353,47
354,37
355,25
356,45
357,56
358,24
359,24
360,46
361,67
362,20
363,23
364,23
365,37
366,32
367,37
368,46
369,86
370,34
371,46
372,60
373,62
374,35
375,71
376,46
377,21
378,64
379,26
380,27
381,37
382,74
383,40
384,37
385,34
386,47
387,37
388,61
389,39
390,49
391,88
392,29
393,48
394,58
395,37
396,44
397,22
398,48
399,32
400,50
401,35
402,79
403,46
404,36
405,38
406,31
407,45
408,40
409,29
410,43
411,31
412,31
413,43
414,50
415,23
416,62
417,61
418,37
419,32
420,26
421,22
422,38
423,41
424,54
425,29
426,73
427,67
428,17
429,52
430,64
431,71
432,25
433,64
434,31
435,29
436,55
437,67
438,37
439,26
440,36
441,31
442,29
443,50
444,53
445,58
446,45
447,60
448,28
449,96
450,67
451,38
452,41
453,52
454,31
455,25
456,36
457,46
458,25
459,62
460,18
461,82
462,69
463,61
464,19
465,23
466,30
467,38
468,32
469,25
470,61
471,25
472,64
473,86
474,50
475,68
476,39
477,23
478,86
479,79
480,44
481,50
482,56
483,71
484,36
485,53
486,42
487,29
488,32
489,41
490,61
491,19
492,54
493,46
494,34
495,47
496,29
497,24
498,67
499,40
500,23
501,55
502,49
503,32
504,63
505,24
506,69
507,29
508,30
509,52
510,78
511,22
512,59
513,22
514,45
515,21
516,44
517,48
518,49
519,27
520,23
521,89
522,48
523,32
524,22
525,25
526,51
527,34
528,60
529,24
530,48
531,25
532,26
533,50
534,53
535,37
536,74
537,41
538,29
539,67
540,66
541,41
542,35
543,45
544,25
545,32
546,24
547,31
548,24
549,63
550,31
551,29
552,29
553,24
554,40
555,73
556,44
557,56
558,67
559,82
